"name","id","nametype","recclass","mass","fall","year","reclat","reclong","GeoLocation"
"Abee",6,"Valid","EH4",107000,"Fell",1952,54.21667,-113,"""(54.216670, -113.000000)"""
"Alfianello",466,"Valid","L6",228000,"Fell",1883,45.26667,10.15,"""(45.266670, 10.150000)"""
"Allende",2278,"Valid","CV3",2000000,"Fell",1969,26.96667,-105.31667,"""(26.966670, -105.316670)"""
"Bjurböle",5064,"Valid","L/LL4",330000,"Fell",1899,60.4,25.8,"""(60.400000, 25.800000)"""
"Boguslavka",5098,"Valid","""Iron, IIAB""",256000,"Fell",1916,44.55,131.63333,"""(44.550000, 131.633330)"""
"Bruderheim",5156,"Valid","L6",303000,"Fell",1960,53.9,-112.88333,"""(53.900000, -112.883330)"""
"Bur-Gheluai",5169,"Valid","H5",120000,"Fell",1919,5,48,"""(5.000000, 48.000000)"""
"Chelyabinsk",57165,"Valid","LL5",100000,"Fell",2013,54.81667,61.11667,"""(54.816670, 61.116670)"""
"Chergach ",47347,"Valid","H5",100000,"Fell",2007,23.69639,-5.01472,"""(23.696390, -5.014720)"""
"Colby (Wisconsin)",5395,"Valid","L6",104000,"Fell",1917,44.9,-90.28333,"""(44.900000, -90.283330)"""
"Djati-Pengilon",7652,"Valid","H6",166000,"Fell",1884,-7.5,111.5,"""(-7.500000, 111.500000)"""
"Dong Ujimqin Qi",7706,"Valid","Mesosiderite",128800,"Fell",1995,45.5,119.03333,"""(45.500000, 119.033330)"""
"Elbogen",7823,"Valid","""Iron, IID""",107000,"Fell",1399,50.18333,12.73333,"""(50.183330, 12.733330)"""
"Ensisheim",10039,"Valid","LL6",127000,"Fell",1491,47.86667,7.35,"""(47.866670, 7.350000)"""
"Estherville",10059,"Valid","Mesosiderite-A3/4",320000,"Fell",1879,43.41667,-94.83333,"""(43.416670, -94.833330)"""
"Forest City",10119,"Valid","H5",152000,"Fell",1890,43.25,-93.66667,"""(43.250000, -93.666670)"""
"Glasatovo",10926,"Valid","H4",152000,"Fell",1918,57.35,37.61667,"""(57.350000, 37.616670)"""
"Gujba",11449,"Valid","CBa",100000,"Fell",1984,11.49167,11.65833,"""(11.491670, 11.658330)"""
"Holbrook",11894,"Valid","L/LL6",220000,"Fell",1912,34.9,-110.18333,"""(34.900000, -110.183330)"""
"Homestead",11901,"Valid","L5",230000,"Fell",1875,41.8,-91.86667,"""(41.800000, -91.866670)"""
"Jianshi",12087,"Valid","""Iron, IIIAB""",600000,"Fell",1890,30.80833,109.5,"""(30.808330, 109.500000)"""
"Jilin",12171,"Valid","H5",4000000,"Fell",1976,44.05,126.16667,"""(44.050000, 126.166670)"""
"Juancheng",12203,"Valid","H5",100000,"Fell",1997,35.5,115.41667,"""(35.500000, 115.416670)"""
"Kainsaz",12229,"Valid","CO3.2",200000,"Fell",1937,55.43333,53.25,"""(55.433330, 53.250000)"""
"Kesen",12286,"Valid","H4",135000,"Fell",1850,38.98333,141.61667,"""(38.983330, 141.616670)"""
"Kidairat",12300,"Valid","H6",100000,"Fell",1983,14,28,"""(14.000000, 28.000000)"""
"Knyahinya",12335,"Valid","L/LL5",500000,"Fell",1866,48.9,22.4,"""(48.900000, 22.400000)"""
"Kunashak",12377,"Valid","L6",200000,"Fell",1949,55.78333,61.36667,"""(55.783330, 61.366670)"""
"Kunya-Urgench",12379,"Valid","H5",1100000,"Fell",1998,42.25,59.2,"""(42.250000, 59.200000)"""
"Mbale",15455,"Valid","L5/6",150000,"Fell",1992,1.06667,34.16667,"""(1.066670, 34.166670)"""
"Millbillillie",16643,"Valid","Eucrite-mmict",330000,"Fell",1960,-26.45,120.36667,"""(-26.450000, 120.366670)"""
"Mocs",16709,"Valid","L5-6",300000,"Fell",1882,46.8,24.03333,"""(46.800000, 24.033330)"""
"Molina",16715,"Valid","H5",144000,"Fell",1858,38.11667,-1.16667,"""(38.116670, -1.166670)"""
"Montferré",16727,"Valid","H5",149000,"Fell",1923,43.39056,1.9625,"""(43.390560, 1.962500)"""
"Mount Tazerzait",16804,"Valid","L5",110000,"Fell",1991,18.7,4.8,"""(18.700000, 4.800000)"""
"Murchison",16875,"Valid","CM2",100000,"Fell",1969,-36.61667,145.2,"""(-36.616670, 145.200000)"""
"New Concord",16953,"Valid","L6",230000,"Fell",1860,40,-81.76667,"""(40.000000, -81.766670)"""
"Norton County",17922,"Valid","Aubrite",1100000,"Fell",1948,39.68333,-99.86667,"""(39.683330, -99.866670)"""
"Ochansk",17979,"Valid","H4",500000,"Fell",1887,57.78333,55.26667,"""(57.783330, 55.266670)"""
"Olivenza",18013,"Valid","LL5",150000,"Fell",1924,38.71667,-7.06667,"""(38.716670, -7.066670)"""
"Omolon",18019,"Valid","""Pallasite, PMG""",250000,"Fell",1981,64.02,161.80833,"""(64.020000, 161.808330)"""
"Paragould",18101,"Valid","LL5",408000,"Fell",1930,36.06667,-90.5,"""(36.066670, -90.500000)"""
"Paranaiba",18103,"Valid","L6",100000,"Fell",1956,-19.13333,-51.66667,"""(-19.133330, -51.666670)"""
"Pultusk",18901,"Valid","H5",250000,"Fell",1868,52.76667,21.26667,"""(52.766670, 21.266670)"""
"Putinga",18905,"Valid","L6",300000,"Fell",1937,-29.03333,-53.05,"""(-29.033330, -53.050000)"""
"Saint-Séverin",23102,"Valid","LL6",271000,"Fell",1966,45.3,0.23333,"""(45.300000, 0.233330)"""
"Saratov",23176,"Valid","L4",200000,"Fell",1918,52.55,46.55,"""(52.550000, 46.550000)"""
"Sevrukovo",23509,"Valid","L5",101000,"Fell",1874,50.61667,36.6,"""(50.616670, 36.600000)"""
"Sikhote-Alin",23593,"Valid","""Iron, IIAB""",23000000,"Fell",1947,46.16,134.65333,"""(46.160000, 134.653330)"""
"Sterlitamak",23724,"Valid","""Iron, IIIAB""",325000,"Fell",1990,53.66667,55.98333,"""(53.666670, 55.983330)"""
"Suizhou",23738,"Valid","L6",260000,"Fell",1986,31.61667,113.46667,"""(31.616670, 113.466670)"""
"Sulagiri",48951,"Valid","LL6",110000,"Fell",2008,12.66667,78.03333,"""(12.666670, 78.033330)"""
"Tamdakht",48691,"Valid","H5",100000,"Fell",2008,31.16333,-7.015,"""(31.163330, -7.015000)"""
"Tenham",23897,"Valid","L6",160000,"Fell",1879,-25.73333,142.95,"""(-25.733330, 142.950000)"""
"Udei Station",24101,"Valid","""Iron, IAB-ung""",103000,"Fell",1927,7.95,8.08333,"""(7.950000, 8.083330)"""
"Weston",24249,"Valid","H4",150000,"Fell",1807,41.266667,-73.266667,"""(41.266667, -73.266667)"""
"Wiluna",24281,"Valid","H5",150000,"Fell",1967,-26.59278,120.32833,"""(-26.592780, 120.328330)"""
"Yardymly",30352,"Valid","""Iron, IAB complex""",150200,"Fell",1959,38.93333,48.25,"""(38.933330, 48.250000)"""
"Zag",30384,"Valid","H3-6",175000,"Fell",1998,27.33333,-9.33333,"""(27.333330, -9.333330)"""
"Zhovtnevyi",30407,"Valid","H6",107000,"Fell",1938,47.58333,37.25,"""(47.583330, 37.250000)"""
"Acuña",373,"Valid","""Iron, IIIAB""",217700,"Found",1981,29.31667,-100.96667,"""(29.316670, -100.966670)"""
"Admire",380,"Valid","""Pallasite, PMG""",180000,"Found",1881,38.7,-96.1,"""(38.700000, -96.100000)"""
"Adzhi-Bogdo (iron)",389,"Valid","""Iron, IAB complex""",582000,"Found",1952,44.86667,95.41667,"""(44.866670, 95.416670)"""
"Agoudal",57354,"Valid","""Iron, IIAB""",100000,"Found",2000,31.98457,-5.51528,"""(31.984570, -5.515280)"""
"Al Haggounia 001",44857,"Valid","Aubrite",3000000,"Found",2006,27.5,-12.5,"""(27.500000, -12.500000)"""
"Alkhamasin",475,"Valid","""Iron, IIAB""",1200000,"Found",1973,20.6,44.88333,"""(20.600000, 44.883330)"""
"Allan Hills A76009",1316,"Valid","L6",407000,"Found",1976,-76.71667,159.66667,"""(-76.716670, 159.666670)"""
"Anyujskij",2312,"Valid","""Iron, IIAB""",100000,"Found",1981,66.9,164.2,"""(66.900000, 164.200000)"""
"Araslanovo",2324,"Valid","L/LL5",132000,"Found",1973,55.14167,48.2,"""(55.141670, 48.200000)"""
"Arispe",2332,"Valid","""Iron, IC""",683000,"Found",1896,30.33333,-109.98333,"""(30.333330, -109.983330)"""
"Armanty",2335,"Valid","""Iron, IIIE""",28000000,"Found",1898,47,88,"""(47.000000, 88.000000)"""
"Augustinovka",4898,"Valid","""Iron, IIIAB""",400000,"Found",1890,48.06667,35.08333,"""(48.066670, 35.083330)"""
"Babb's Mill (Blake's Iron)",4915,"Valid","""Iron, ungrouped""",136000,"Found",1876,36.3,-82.88333,"""(36.300000, -82.883330)"""
"Bacubirito",4919,"Valid","""Iron, ungrouped""",22000000,"Found",1863,26.2,-107.83333,"""(26.200000, -107.833330)"""
"Barratta",4951,"Valid","L4",200000,"Found",1845,-35.3,144.56667,"""(-35.300000, 144.566670)"""
"Bear Creek",4982,"Valid","""Iron, IIIAB""",227000,"Found",1866,39.6,-105.3,"""(39.600000, -105.300000)"""
"Bencubbin",5014,"Valid","CBa",118000,"Found",1930,-30.75,117.78333,"""(-30.750000, 117.783330)"""
"Bendegó",5015,"Valid","""Iron, IC""",5360000,"Found",1784,-10.11667,-39.2,"""(-10.116670, -39.200000)"""
"Bilibino",5046,"Valid","""Iron, IIAB""",1000000,"Found",1981,67.3,160.8,"""(67.300000, 160.800000)"""
"Bitburg",5062,"Valid","""Iron, IAB complex""",1500000,"Found",1805,49.96667,6.53333,"""(49.966670, 6.533330)"""
"Bluff (a)",5087,"Valid","L5",153300,"Found",1878,29.87861,-96.87222,"""(29.878610, -96.872220)"""
"Bondoc",5103,"Valid","Mesosiderite-B4",888600,"Found",1956,13.51667,122.45,"""(13.516670, 122.450000)"""
"Bou Azarif",53812,"Valid","H5",100000,"Found",2010,31.15643,-5.15262,"""(31.156430, -5.152620)"""
"Boxhole",5126,"Valid","""Iron, IIIAB""",500000,"Found",1937,-22.61667,135.2,"""(-22.616670, 135.200000)"""
"Brahin",5130,"Valid","""Pallasite, PMG""",823000,"Found",1810,52.5,30.33333,"""(52.500000, 30.333330)"""
"Brainard",5131,"Valid","""Iron, IIIAB""",138300,"Found",1978,41.15333,-96.955,"""(41.153330, -96.955000)"""
"Brenham",5136,"Valid","""Pallasite, PMG-an""",4300000,"Found",1882,37.5825,-99.16361,"""(37.582500, -99.163610)"""
"Budulan",5161,"Valid","Mesosiderite-B4",100000,"Found",1962,50.56667,114.9,"""(50.566670, 114.900000)"""
"Buenaventura",5162,"Valid","""Iron, IIIAB""",113600,"Found",1969,29.8,-107.55,"""(29.800000, -107.550000)"""
"Bur-Abor",5166,"Valid","""Iron, IIIAB""",290000,"Found",1997,3.98333,41.65,"""(3.983330, 41.650000)"""
"Camp Wood",51830,"Valid","""Iron, IIIAB""",148000,"Found",null,29.7725,-99.875,"""(29.772500, -99.875000)"""
"Campinorte",52093,"Valid","""Iron, ungrouped""",2000000,"Found",1992,-14.258,-49.15917,"""(-14.258000, -49.159170)"""
"Campo del Cielo",5247,"Valid","""Iron, IAB-MG""",50000000,"Found",1575,-27.46667,-60.58333,"""(-27.466670, -60.583330)"""
"Canyon Diablo",5257,"Valid","""Iron, IAB-MG""",30000000,"Found",1891,35.05,-111.03333,"""(35.050000, -111.033330)"""
"Cape of Good Hope",5261,"Valid","""Iron, IVB""",136000,"Found",1793,-33.5,26,"""(-33.500000, 26.000000)"""
"Cape York",5262,"Valid","""Iron, IIIAB""",58200000,"Found",1818,76.13333,-64.93333,"""(76.133330, -64.933330)"""
"Caperr",5263,"Valid","""Iron, IIIAB""",113900,"Found",1869,-45.28333,-70.48333,"""(-45.283330, -70.483330)"""
"Carbo",5266,"Valid","""Iron, IID""",454000,"Found",1923,29.66667,-111.5,"""(29.666670, -111.500000)"""
"Carnegie",5278,"Valid","L6",132700,"Found",1963,35.16667,-98.64389,"""(35.166670, -98.643890)"""
"Carthage",5282,"Valid","""Iron, IIIAB""",127000,"Found",1840,36.26667,-85.98333,"""(36.266670, -85.983330)"""
"Casas Grandes",5285,"Valid","""Iron, IIIAB""",1545000,"Found",1867,30.4,-107.8,"""(30.400000, -107.800000)"""
"Charcas",5326,"Valid","""Iron, IIIAB""",1400000,"Found",1804,23.08333,-101.01667,"""(23.083330, -101.016670)"""
"Chebankol",5335,"Valid","""Iron, IAB-sHL""",127760,"Found",1938,53.66667,88,"""(53.666670, 88.000000)"""
"Chico",5346,"Valid","L6",104800,"Found",1954,36.5,-104.2,"""(36.500000, -104.200000)"""
"Chinga",5353,"Valid","""Iron, ungrouped""",209400,"Found",1913,51.05833,94.4,"""(51.058330, 94.400000)"""
"Chupaderos",5363,"Valid","""Iron, IIIAB""",24300000,"Found",1852,27,-105.1,"""(27.000000, -105.100000)"""
"Cleveland",5379,"Valid","""Iron, IIIAB""",115000,"Found",1860,34.88333,-84.78333,"""(34.883330, -84.783330)"""
"Clovis (no. 1)",5385,"Valid","H3.6",283000,"Found",1961,34.3,-103.13472,"""(34.300000, -103.134720)"""
"Coahuila",5387,"Valid","""Iron, IIAB""",2100000,"Found",1837,28.7,-102.73333,"""(28.700000, -102.733330)"""
"Colomera",5404,"Valid","""Iron, IIE""",134000,"Found",1912,37.43333,-3.65,"""(37.433330, -3.650000)"""
"Cook 001",5421,"Valid","H5",105000,"Found",1989,-30.33333,130.53333,"""(-30.333330, 130.533330)"""
"Cook 007",5427,"Valid","H4",100000,"Found",1989,-30.61667,130.41667,"""(-30.616670, 130.416670)"""
"Cosby's Creek",5450,"Valid","""Iron, IAB-MG""",960000,"Found",1837,35.78333,-83.25,"""(35.783330, -83.250000)"""
"Cranbourne",5463,"Valid","""Iron, IAB-MG""",8600000,"Found",1854,-38.1,145.3,"""(-38.100000, 145.300000)"""
"Dalgety Downs",5507,"Valid","L4",257000,"Found",1941,-25.33333,116.18333,"""(-25.333330, 116.183330)"""
"Davis Mountains",6615,"Valid","""Iron, IIIAB""",689000,"Found",1903,30.75,-104.25,"""(30.750000, -104.250000)"""
"Derrick Peak A78009",6685,"Valid","""Iron, IIAB""",138100,"Found",1978,-80.06667,156.38333,"""(-80.066670, 156.383330)"""
"Dhofar 005",6704,"Valid","L6",125500,"Found",2000,18.16667,54.16667,"""(18.166670, 54.166670)"""
"Dhofar 020",6719,"Valid","H4/5",256000,"Found",2000,19.03333,54.51667,"""(19.033330, 54.516670)"""
"Dimitrovgrad",7644,"Valid","""Iron, IIIAB""",100000,"Found",1949,43.04639,22.86389,"""(43.046390, 22.863890)"""
"Dimmitt",7645,"Valid","H3.7",200000,"Found",1942,34.58333,-102.16667,"""(34.583330, -102.166670)"""
"Drum Mountains",7733,"Valid","""Iron, IIIAB""",529000,"Found",1944,39.5,-112.9,"""(39.500000, -112.900000)"""
"Duketon",7740,"Valid","""Iron, IIIAB""",118300,"Found",1948,-27.5,122.36667,"""(-27.500000, 122.366670)"""
"Durango",7751,"Valid","""Iron, IIIAB""",164000,"Found",1804,null,null,null
"El Hammami",7806,"Valid","H5",240000,"Found",1997,23.28333,-10.81667,"""(23.283330, -10.816670)"""
"El Sampal",7817,"Valid","""Iron, IIIAB""",142000,"Found",1973,-44.53333,-70.36667,"""(-44.533330, -70.366670)"""
"El Timbu",7820,"Valid","Iron",500000,"Found",1942,-33.11667,-60.96667,"""(-33.116670, -60.966670)"""
"Madoc",15381,"Valid","""Iron, IIIAB""",168000,"Found",1854,44.5,-77.46667,"""(44.500000, -77.466670)"""
"Magura",15388,"Valid","""Iron, IAB-MG""",150000,"Found",1840,49.33333,19.48333,"""(49.333330, 19.483330)"""
"Manlai",15407,"Valid","""Iron, ungrouped""",166800,"Found",1954,44.33333,106.5,"""(44.333330, 106.500000)"""
"Mbosi",15456,"Valid","""Iron, ungrouped""",16000000,"Found",1930,-9.11667,33.06667,"""(-9.116670, 33.066670)"""
"McKinney",15463,"Valid","L4",150000,"Found",1870,33.18333,-96.71667,"""(33.183330, -96.716670)"""
"Miles",16641,"Valid","""Iron, IIE""",265000,"Found",1992,-27.83333,150.33333,"""(-27.833330, 150.333330)"""
"Molong",16716,"Valid","""Pallasite, PMG""",104000,"Found",1912,-33.28333,148.88333,"""(-33.283330, 148.883330)"""
"Mont Dieu",16722,"Valid","""Iron, ungrouped""",360000,"Found",1994,49.55,4.86667,"""(49.550000, 4.866670)"""
"Morasko",16741,"Valid","""Iron, IAB-MG""",290000,"Found",1914,52.46667,16.9,"""(52.466670, 16.900000)"""
"Morito",16745,"Valid","""Iron, IIIAB""",10100000,"Found",1600,27.05,-105.43333,"""(27.050000, -105.433330)"""
"Morland",16746,"Valid","H6",295000,"Found",1890,39.33333,-100.06667,"""(39.333330, -100.066670)"""
"Moshesh",16756,"Valid","H",200000,"Found",null,-30.1,28.71667,"""(-30.100000, 28.716670)"""
"Mount Dooling",16771,"Valid","""Iron, IC""",734000,"Found",1909,-29.45,119.71667,"""(-29.450000, 119.716670)"""
"Mount Edith",16773,"Valid","""Iron, IIIAB""",326000,"Found",1913,-22.5,116.16667,"""(-22.500000, 116.166670)"""
"Mount Joy",16779,"Valid","""Iron, IIAB""",384000,"Found",1887,39.78333,-77.21667,"""(39.783330, -77.216670)"""
"Mount Padbury",16785,"Valid","Mesosiderite-A1",272000,"Found",1964,-25.66667,118.1,"""(-25.666670, 118.100000)"""
"Mount Vernon",16806,"Valid","""Pallasite, PMG""",159000,"Found",1868,36.93333,-87.4,"""(36.933330, -87.400000)"""
"Mundrabilla",16852,"Valid","""Iron, IAB-ung""",24000000,"Found",1911,-30.78333,127.55,"""(-30.783330, 127.550000)"""
"Muonionalusta",16873,"Valid","""Iron, IVA""",230000,"Found",1906,67.8,23.1,"""(67.800000, 23.100000)"""
"Murnpeowie",16878,"Valid","""Iron, IC""",1143000,"Found",1909,-29.58333,139.9,"""(-29.583330, 139.900000)"""
"Nantan",16906,"Valid","""Iron, IAB-MG""",9500000,"Found",1958,25.1,107.7,"""(25.100000, 107.700000)"""
"Navajo",16926,"Valid","""Iron, IIAB""",2184000,"Found",1921,35.33333,-109.5,"""(35.333330, -109.500000)"""
